OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DRIVES VEHICLE ALONG TRACK OF RAILROAD,,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,DRIVING UNDER THE INFLUENCE,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY",,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY",,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,DRIVING UNDER THE INFLUENCE,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY",,,,,,,,,,,,,,,,
,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, DRAG RACING",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DRIVING, DRAG RACING",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, FAILURE TO HEED RED LIGHT AND SIREN",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, LICENSE SUSPENDED OR REVOKED",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, NO LICENSE ISSUED",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, RECKLESS",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, RECKLESS, WITH INJURY",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DRIVING, RECKLESS, WITH INJURY",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DRIVING, SPEEDING",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,"DRIVING, STUNT VEHICLE/STREET RACING",,,,,,,,,,,,,,,,
,35B,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"DRUG LAB APPARATUS, POSSESSION",,,,,,,,,,,,,,,,
,35B,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,"DRUG LAB APPARATUS, POSSESSION",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DRUG OFFENDER, PRESENCE  NEAR SCHOOL GROUNDS",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DRUG OFFENDER, PRESENCE  NEAR SCHOOL GROUNDS",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DRUGS, UNDER INFLUENCE  IN A PUBLIC PLACE",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DUMPING OF OFFENSIVE MATTER,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,FRAUD,"EAVESDROPPING DEVICES, SALE OR USE",,,,,,,,,,,,,,,,
,13B,13B Simple Assault,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,OFFENCES AGAINST THE FAMILY AND CHILDREN,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),,,,,,,,,,,,,,,,
,290,295 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,"ELECTRICAL  OR GAS LINES, INTERFERING WITH",,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,"ELECTRICAL  OR GAS LINES, INTERFERING WITH",,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,EMBEZZLED VEHICLE,,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,EMBEZZLEMENT (GENERAL),,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,LARCENY/THEFT,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER,,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT",,,,,,,,,,,,,,,,
,270,271 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY BROKERS/AGENTS",,,,,,,,,,,,,,,,
,270,272 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY BROOKERS/AGENTS",,,,,,,,,,,,,,,,
,270,273 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY COLLECTOR",,,,,,,,,,,,,,,,
,270,274 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",,,,,,,,,,,,,,,,
,270,275 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY PROPERTY CARRIER",,,,,,,,,,,,,,,,
,270,276 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT LEASED PROPERTY",,,,,,,,,,,,,,,,
,270,277 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT PRIVATE PROPERTY",,,,,,,,,,,,,,,,
,270,278 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT PUBLIC/PRIVATE OFFICIAL",,,,,,,,,,,,,,,,
,270,279 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT",,,,,,,,,,,,,,,,
,270,280 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY BROKERS/AGENTS",,,,,,,,,,,,,,,,
,270,281 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY BROOKERS/AGENTS",,,,,,,,,,,,,,,,
,270,282 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY COLLECTOR",,,,,,,,,,,,,,,,
,270,283 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE",,,,,,,,,,,,,,,,
,270,284 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT BY PROPERTY CARRIER",,,,,,,,,,,,,,,,
,270,285 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT OF LEASED PROPERTY",,,,,,,,,,,,,,,,
,270,286 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT PRIVATE PROPERTY",,,,,,,,,,,,,,,,
,270,287 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT PUBLIC/PRIVATE OFFICIAL",,,,,,,,,,,,,,,,
,270,288 Embezzlement,Embezzlement,Crimes against property,,,,,,,,,,,,,,,,,,,,EMBEZZLEMENT,"EMBEZZLEMENT, PETTY THEFT, LEASED PROPERTY",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ENCOUNTER STUDIO ORDINANCE VIOLATION,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE AMPHETAMINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE BARBITUATES,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE CONTROLLED SUBSTANCE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE HALLUCINOGENIC,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE HEROIN,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE METH-AMPHETAMINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGE MINOR TO USE OPIATES,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGING MINOR TO USE COCAINE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,ENCOURAGING MINOR TO USE MARIJUANA,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"ENDLESS CHAIN SCHEMES, PONZI SCHEMES",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,ENGAGING IN LEWD ACT,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,"SEX OFFENSES, FORCIBLE",ENGAGING IN LEWD ACT,,,,,,,,,,,,,,,,
,40A,40A Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,PROSTITUTION,ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO ADULT AUTHORITY,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO PAROLE OFFICER,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO PROBATION OFFICER,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,WARRANTS,ENROUTE TO U.S. MARSHALL,,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,OFFENCES AGAINST THE FAMILY AND CHILDREN,"EPO OR RESTRAINING ORDER VIOLATION, DVU RELATED",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ESCAPE FROM HOSPITAL WITH FORCE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ESCAPE FROM JAIL,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ESCAPE OF PRISONER WHILE HOSPITALIZED,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,ESCAPE OR ASSISTING ESCAPE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ESCAPE OR ASSISTING ESCAPE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,JUVENILE OFFENSES,"ESCAPEE, JUVENILE",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"ESCAPEE, JUVENILE",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,ESCAPES,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,ESCAPES,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,EVADING A POLICE OFFICER RECKLESSLY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"EVADING A POLICE OFFICER, INJURY OR DEATH",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"EVADING A POLICE OFFICER, INJURY OR DEATH",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,EVADING A POLICE VEHICLE OR BICYCLE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,EVADING A POLICE VEHICLE OR BICYCLE,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,EVADING PAYMENT OF RAILROAD FARE,,,,,,,,,,,,,,,,
,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,EVADING PAYMENT OF RAILROAD FARE,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,,,,,,,,,,,,,,,,
,520,530 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,,,,,,,,,,,,,,,,
,520,578 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS OFFENSE,"EXPLOSIVE DEVICE, LOCATED",,,,,,,,,,,,,,,,
,520,530 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,"EXPLOSIVES, ILLEGAL TRANSPORTATION",,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,EXTORTION,EXTORTION,,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,EXTORTION,EXTORTION OR BLACKMAIL,,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,EXTORTION OR BLACKMAIL,,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,EXTORTION,"EXTORTION, ATTEMPTED",,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"EXTORTION, ATTEMPTED",,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FAILURE TO HEED RED LIGHT AND SIREN,,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,FAMILY OFFENSES,FAILURE TO PROVIDE FOR CHILD,,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,FAMILY OFFENSES,FAILURE TO PROVIDE FOR PARENTS,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,FAILURE TO REGISTER AS NARCOTICS ADDICT,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"FALSE CLAIMS, PRESENTING TO GOVERNMENT",,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,LIQUOR LAWS,FALSE EVIDENCE OF AGE BY MINOR,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE FIRE ALARM,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE ID TO PEACE OFFICER,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,ASSAULT,FALSE IMPRISONMENT,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,KIDNAPPING,FALSE IMPRISONMENT,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,FALSE IMPRISONMENT,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE PERSONATION,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE PERSONATION,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE PERSONATION AND CHEAT CRIMES (GENERAL),,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE PERSONATION AND CHEAT CRIMES (GENERAL),,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"FALSE PRETENSES, GRAND THEFT",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"FALSE PRETENSES, PETTY THEFT",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE REPORT OF BOMB,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,FALSE REPORT OF CRIME,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE REPORT OF EMERGENCY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,FALSE REPORT OF EMERGENCY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,FALSE REPORT OF FELONY OR MISDEMEANOR,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,FRAUD,FALSE REPORT OF POLICE MISCONDUCT,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,FALSE REPORT OF POLICE MISCONDUCT,,,,,,,,,,,,,,,,
